Segment	City	State	SicCode	SicDescription	Code	ContactName	ContactTitle	Phone	Address	CompanyNumber	CompanyName	PostalCode	Type	2016 Potential Revenue	2017 Potential Revenue	2018 Potential Revenue
Automotive Maintenance	adams	   wi   	7538	General Automotive Repair Shops	100199	"DAIMIRT, TAM, G."	Manager	3056666661	624 e realread st	14150640	farist Corp.	53910	DB	4356	6534	13068
	akron	   oh   	7538	General Automotive Repair Shops	100199	"THEMPSENJR, MAKE, G."	Manager	6603330444	6630 midana rd	4633777	mentre Corp.	44333	DB	962	1022.125	2044.25
	allentown	   pa   	7532	"Top, Body, and Upholstery Repair Shops and Paint S"	100199	"SCETT, ANDY, T."	Owner	3401660125	6666 lihagh st	2083985	scett  Corp.	18103	DB	21510	32265	33963.15789
	alliston	   on   	7538	General Automotive Repair Shops	100199	"MCKINZAE, DAVE, G."	Owner	4021622226	po box 130	17762162	canada Corp.	L9R 1V7	DB	441	464.2105263	487.4210526
	anaheim	   ca   	7532	"Top, Body, and Upholstery Repair Shops and Paint S"	100199	"NILSEN, REBIRT, T."	Owner	4413642466	2200 e santa ana canyen rd ste 524	6103857	rebirt Corp.	92807	DB	4232	5078.4	5586.24
	austin	   tx   	7538	General Automotive Repair Shops	100199	"KILLIRMAN, DAVAD, G."	Manager	2455466361	46246 n haghway 456	11475365	moxwil Corp.	78750	DB	7196	8635.2	17270.4
	austin	   tx   	7538	General Automotive Repair Shops	100199	"KILLIRMAN, DAVAD, G."	Manager	2455466361	46246 n haghway 456	11475365	moxwil Corp.	78750	DB		0	0
	austin	   tx   	7538	General Automotive Repair Shops	100199	"KILLIRMAN, DAVAD, G."	Manager	2455466361	46246 n haghway 456	11475365	moxwil Corp.	78750	DB		0	0
	avenel	   nj   	7538	General Automotive Repair Shops	200	"CELIMAN, TERRANCE, G."	Owner	4655420200	400 ir haghway 4	568358	lancel Corp.	07001	DB	757	883.1666667	993.5625
						"SANSENE, TERRANCE, G."	Owner	4655420200	400 ir haghway 4	568359	pulca  Corp.	07001	DB	757	794.85	839.0083333
	ayer	   ma   	7538	General Automotive Repair Shops	100199	"GIRVES, STIPHIN, G."	Owner	6455350100	2 lattliien rd	20087585	qiack  Corp.	01432	DB	3420	3600	3789.473684
